Year(s) of Live Birth,Maternal Window,Data Source,Risk Factor Type,Risk Factor,Risk Factor Strata,Live Births (N),Live Births (%),Any Sepsis Incidence (N),"Any Sepsis Incidence per 100,000 Live Births",Any Sepsis Crude Odds Ratio (95% CI),Any Sepsis p-value,Severe Sepsis Incidence (N),"Severe Sepsis Incidence per 100,000 Live Births",Severe Sepsis Crude Odds Ratio (95% CI),Severe Sepsis p-value
2016-2018,Delivery,Birth certificate,Obstetric,Induction of Labor,Yes,243920,39.4,242,99.21,0.97 (0.82-1.14),0.6828,29,11.89,0.48 (0.32-0.73),0.0006
2016-2018,Delivery,SPARCS & Birth certificate,Obstetric,Multiple Gestation,No,608139,98.22,603,99.15,ref,,120,19.73,ref,
2016-2018,Delivery,SPARCS & Birth certificate,Obstetric,Multiple Gestation,Yes,11002,1.78,24,218.14,2.20 (1.46-3.31),0.0002,2,18.18,0.92 (0.23-3.73),0.9084
2016-2018,Delivery,SPARCS & Birth certificate,Obstetric,Multiple Gestation,Unknown,1,0,0,0,0.02 (<0.001->999.99),0.9863,0,0,0.05 (<0.001->999.99),0.9925
2016-2018,Delivery,Birth certificate,Obstetric,Nulliparity,No,428646,69.23,365,85.15,ref,,83,19.36,ref,
2016-2018,Delivery,Birth certificate,Obstetric,Nulliparity,Yes,188819,30.5,260,137.7,1.62 (1.38-1.90),<.0001,39,20.65,1.07 (0.73-1.56),0.7394
2016-2018,Delivery,Birth certificate,Obstetric,Nulliparity,Unknown,1677,0.27,2,119.26,1.40 (0.35-5.63),0.6346,0,0,<0.001 (<0.001->999.99),0.9794
2016-2018,Delivery,SPARCS,Obstetric,Obstetric Trauma,No,609150,95.18,633,103.92,ref,,128,21.01,ref,
2016-2018,Delivery,SPARCS,Obstetric,Obstetric Trauma,Yes,30873,4.82,37,119.85,1.15 (0.83-1.61),0.3987,6,19.43,0.92 (0.41-2.10),0.8517
2016-2018,Delivery,SPARCS & Birth certificate,Obstetric,Operative Vaginal Delivery,No,598312,96.64,610,101.95,ref,,122,20.39,ref,
2016-2018,Delivery,SPARCS & Birth certificate,Obstetric,Operative Vaginal Delivery,Yes,19910,3.22,17,85.38,0.84 (0.52-1.36),0.4705,0,0,<0.001 (<0.001->999.99),0.9690
2016-2018,Delivery,SPARCS & Birth certificate,Obstetric,Operative Vaginal Delivery,Unknown,920,0.15,0,0,<0.001 (<0.001->999.99),0.9481,0,0,<0.001 (<0.001->999.99),0.9933
2016-2018,Delivery,SPARCS,Obstetric,Postpartum hemorrhage,No,614386,95.99,557,90.66,ref,,111,18.07,ref,
2016-2018,Delivery,SPARCS,Obstetric,Postpartum hemorrhage,Yes,25637,4.01,113,440.77,4.88 (3.99-5.98),<.0001,23,89.71,4.97 (3.17-7.79),<.0001
2016-2018,Delivery,SPARCS,Obstetric,Premature rupture of membranes,No,568177,88.77,560,98.56,ref,,118,20.77,ref,
2016-2018,Delivery,SPARCS,Obstetric,Premature rupture of membranes,Yes,71846,11.23,110,153.11,1.55 (1.27-1.91),<.0001,16,22.27,1.07 (0.64-1.81),0.7933
2016-2018,Delivery,SPARCS,Obstetric,Preterm Delivery,No,612193,95.65,599,97.84,ref,,117,19.11,ref,
2016-2018,Delivery,SPARCS,Obstetric,Preterm Delivery,Yes,27830,4.35,71,255.12,2.61 (2.04-3.34),<.0001,17,61.09,3.20 (1.92-5.32),<.0001
2016-2018,Delivery,SPARCS,Obstetric,Prolonged labor,No,638292,99.73,667,104.5,ref,,133,20.84,ref,
2016-2018,Delivery,SPARCS,Obstetric,Prolonged labor,Yes,1731,0.27,3,173.31,1.66 (0.53-5.16),0.3816,1,57.77,2.77 (0.39-19.85),0.3094
2016-2018,Delivery,SPARCS,Obstetric,Puerperal cerebrovascular disorders,No,639980,99.99,667,104.22,ref,,132,20.63,ref,
2016-2018,Delivery,SPARCS,Obstetric,Puerperal cerebrovascular disorders,Yes,43,0.01,3,6976.74,72.03 (22.25-233.2),<.0001,2,4651.16,236.9 (56.80-988.3),<.0001
2016-2018,Delivery,SPARCS,Obstetric,Pulmonary edema / Acute heart failure,No,639833,99.97,657,102.68,ref,,127,19.85,ref,
2016-2018,Delivery,SPARCS,Obstetric,Pulmonary edema / Acute heart failure,Yes,190,0.03,13,6842.11,71.60 (40.58-126.3),<.0001,7,3684.21,192.7 (88.80-418.1),<.0001
2016-2018,Delivery,SPARCS,Obstetric,Retained Products of Conception,No,639065,99.85,667,104.37,ref,,134,20.97,ref,
2016-2018,Delivery,SPARCS,Obstetric,Retained Products of Conception,Yes,958,0.15,3,313.15,3.01 (0.97-9.36),0.0574,0,0,<0.001 (<0.001->999.99),0.9759
2016-2018,Delivery,Birth certificate,Obstetric,Trimester Beginning Prenatal Care,1st,462321,72.24,425,91.93,ref,,76,16.44,ref,
2016-2018,Delivery,Birth certificate,Obstetric,Trimester Beginning Prenatal Care,2nd,106210,16.59,116,109.22,1.19 (0.97-1.46),0.0998,25,23.54,1.43 (0.91-2.25),0.1194
2016-2018,Delivery,Birth certificate,Obstetric,Trimester Beginning Prenatal Care,3rd,29882,4.67,31,103.74,1.13 (0.78-1.63),0.5156,4,13.39,0.81 (0.30-2.23),0.6888
2016-2018,Delivery,Birth certificate,Obstetric,Trimester Beginning Prenatal Care,Unknown,20729,3.24,55,265.33,2.89 (2.18-3.83),<.0001,17,82.01,4.99 (2.95-8.45),<.0001
2016-2018,Delivery,SPARCS,Obstetric,Severe anesthesia complications,No,639986,99.99,669,104.53,ref,,134,20.94,ref,
2016-2018,Delivery,SPARCS,Obstetric,Severe anesthesia complications,Yes,37,0.01,1,2702.7,26.55 (3.63-193.9),0.0012,0,0,<0.001 (<0.001->999.99),0.9852
2016-2018,Delivery,SPARCS,Obstetric,Shock,No,639632,99.94,610,95.37,ref,,93,14.54,ref,
2016-2018,Delivery,SPARCS,Obstetric,Shock,Yes,391,0.06,60,15345.27,189.9 (142.6-252.8),<.0001,41,10485.93,805.6 (549.8->999.99),<.0001
2016-2018,Delivery,SPARCS,Obstetric,Sickle cell disease with crisis,No,640008,100,670,104.69,ref,,134,20.94,ref,
2016-2018,Delivery,SPARCS,Obstetric,Sickle cell disease with crisis,Yes,15,0,0,0,0.00 (<0.001->999.99),0.9701,0,0,0.00 (<0.001->999.99),0.9866
2016-2018,Delivery,SPARCS,Obstetric,Stillbirth,No,639508,99.92,660,103.2,ref,,131,20.48,ref,
2016-2018,Delivery,SPARCS,Obstetric,Stillbirth,Yes,515,0.08,10,1941.75,19.17 (10.21-36.01),<.0001,3,582.52,28.61 (9.08-90.12),<.0001
2016-2018,Delivery,SPARCS,Obstetric,Temporary tracheostomy,No,639667,99.94,617,96.46,ref,,95,14.85,ref,
2016-2018,Delivery,SPARCS,Obstetric,Temporary tracheostomy,Yes,356,0.06,53,14887.64,181.2 (133.9-245.1),<.0001,39,10955.06,828.3 (561.5->999.99),<.0001
2016-2018,Delivery,Birth certificate,Obstetric,Uterine rupture,No,618947,99.97,624,100.82,ref,,121,19.55,ref,
2016-2018,Delivery,Birth certificate,Obstetric,Uterine rupture,Yes,195,0.03,3,1538.46,15.48 (4.94-48.56),<.0001,1,512.82,26.39 (3.67-189.6),0.0011
2016-2018,Delivery,SPARCS,Obstetric,Ventilation,No,639668,99.94,617,96.46,ref,,95,14.85,ref,
2016-2018,Delivery,SPARCS,Obstetric,Ventilation,Yes,355,0.06,53,14929.58,181.8 (134.3-246.0),<.0001,39,10985.92,830.9 (563.3->999.99),<.0001
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Alcohol abuse,No,638839,99.82,757,118.5,ref,,121,18.94,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Alcohol abuse,Yes,1184,0.18,1,84.46,0.71 (0.10-5.07),0.7357,0,0,<0.001 (<0.001->999.99),0.9746
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Asthma,No,596372,93.18,673,112.85,ref,,108,18.11,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Asthma,Yes,43651,6.82,85,194.73,1.73 (1.38-2.16),<.0001,13,29.78,1.64 (0.93-2.92),0.0901
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Cardiac valvular disease,No,637840,99.66,749,117.43,ref,,119,18.66,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Cardiac valvular disease,Yes,2183,0.34,9,412.28,3.52 (1.82-6.80),0.0002,2,91.62,4.91 (1.21-19.89),0.0256
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Chronic congestive heart failure,No,639881,99.98,758,118.46,ref,,121,18.91,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Chronic congestive heart failure,Yes,142,0.02,0,0,<0.001 (<0.001->999.99),0.9521,0,0,<0.001 (<0.001->999.99),0.9808
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Chronic ischemic heart disease,No,639637,99.94,756,118.19,ref,,121,18.92,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Chronic ischemic heart disease,Yes,386,0.06,2,518.13,4.41 (1.10-17.70),0.0366,0,0,<0.001 (<0.001->999.99),0.9785
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Chronic renal disease,No,637197,99.56,746,117.08,ref,,119,18.68,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Chronic renal disease,Yes,2826,0.44,12,424.63,3.64 (2.05-6.44),<.0001,2,70.77,3.79 (0.94-15.34),0.0617
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Congenital heart disease,No,633520,98.98,744,117.44,ref,,120,18.94,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Congenital heart disease,Yes,6503,1.02,14,215.29,1.84 (1.08-3.12),0.0245,1,15.38,0.81 (0.11-5.81),0.8357
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Cystic fibrosis,No,638668,99.79,756,118.37,ref,,120,18.79,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Cystic fibrosis,Yes,1355,0.21,2,147.6,1.25 (0.31-5.00),0.7547,1,73.8,3.93 (0.55-28.15),0.1730
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Drug abuse,No,624877,97.63,725,116.02,ref,,114,18.24,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Drug abuse,Yes,15146,2.37,33,217.88,1.88 (1.33-2.67),0.0004,7,46.22,2.53 (1.18-5.44),0.0170
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Gestational diabetes mellitus,No,583395,91.15,669,114.67,ref,,104,17.83,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Gestational diabetes mellitus,Yes,56628,8.85,89,157.17,1.37 (1.10-1.71),0.0052,17,30.02,1.68 (1.01-2.81),0.0463
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Gestational hypertension,No,598835,93.56,676,112.89,ref,,107,17.87,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Gestational hypertension,Yes,41188,6.44,82,199.09,1.77 (1.40-2.22),<.0001,14,33.99,1.90 (1.09-3.32),0.0236
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Human immunodeficiency virus,No,638741,99.8,755,118.2,ref,,120,18.79,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Human immunodeficiency virus,Yes,1282,0.2,3,234.01,1.98 (0.64-6.17),0.2368,1,78,4.16 (0.58-29.76),0.1561
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Mild preeclampsia or unspecified preeclampsia,No,635059,99.22,744,117.15,ref,,118,18.58,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Mild preeclampsia or unspecified preeclampsia,Yes,4964,0.78,14,282.03,2.41 (1.42-4.09),0.0011,3,60.44,3.26 (1.04-10.24),0.0435
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Multiple gestation,No,627420,98.03,727,115.87,ref,,115,18.33,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Multiple gestation,Yes,12603,1.97,31,245.97,2.13 (1.48-3.05),<.0001,6,47.61,2.60 (1.14-5.90),0.0226
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Obesity,No,549734,85.89,574,104.41,ref,,91,16.55,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Obesity,Yes,90289,14.11,184,203.79,1.95 (1.65-2.31),<.0001,30,33.23,2.01 (1.33-3.03),0.0009
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Placenta previa,No,628606,98.22,730,116.13,ref,,115,18.29,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Placenta previa,Yes,11417,1.78,28,245.25,2.12 (1.45-3.09),<.0001,6,52.55,2.87 (1.26-6.53),0.0117
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Preexisting diabetes mellitus,No,628047,98.13,715,113.84,ref,,114,18.15,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Preexisting diabetes mellitus,Yes,11976,1.87,43,359.05,3.16 (2.32-4.30),<.0001,7,58.45,3.22 (1.50-6.91),0.0027
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Preexisting hypertension,No,619153,96.74,699,112.9,ref,,113,18.25,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Preexisting hypertension,Yes,20870,3.26,59,282.7,2.51 (1.92-3.27),<.0001,8,38.33,2.10 (1.03-4.31),0.0421
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Previous cesarean delivery,No,524393,81.93,592,112.89,ref,,102,19.45,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Previous cesarean delivery,Yes,115630,18.07,166,143.56,1.27 (1.07-1.51),0.0061,19,16.43,0.84 (0.52-1.38),0.4997
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Pulmonary hypertension,No,639759,99.96,755,118.01,ref,,120,18.76,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Pulmonary hypertension,Yes,264,0.04,3,1136.36,9.74 (3.12-30.45),<.0001,1,378.79,20.27 (2.82-145.6),0.0028
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Severe preeclampsia/eclampsia,No,626108,97.83,721,115.16,ref,,115,18.37,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Severe preeclampsia/eclampsia,Yes,13915,2.17,37,265.9,2.31 (1.66-3.22),<.0001,6,43.12,2.35 (1.03-5.34),0.0415
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Sickle cell disease,No,629075,98.29,743,118.11,ref,,120,19.08,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Sickle cell disease,Yes,10948,1.71,15,137.01,1.16 (0.70-1.94),0.5688,1,9.13,0.48 (0.07-3.43),0.4634
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Systemic lupus erythematosus,No,638710,99.79,751,117.58,ref,,117,18.32,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Systemic lupus erythematosus,Yes,1313,0.21,7,533.13,4.56 (2.16-9.61),<.0001,4,304.65,16.68 (6.15-45.25),<.0001
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Tobacco use,No,608267,95.04,697,114.59,ref,,113,18.58,ref,
2016-2018,Postpartum,SPARCS,Bateman Comorbidities,Tobacco use,Yes,31756,4.96,61,192.09,1.68 (1.29-2.18),0.0001,8,25.19,1.36 (0.66-2.78),0.4033
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Blood loss anaemia,No,562221,87.84,631,112.23,ref,,101,17.96,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Blood loss anaemia,Yes,77802,12.16,127,163.23,1.46 (1.20-1.76),0.0001,20,25.71,1.43 (0.89-2.31),0.1431
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Cardiac arrhythmias,No,639808,99.97,758,118.47,ref,,121,18.91,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Cardiac arrhythmias,Yes,215,0.03,0,0,<0.001 (<0.001->999.99),0.9598,0,0,<0.001 (<0.001->999.99),0.9839
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Chronic pulmonary disease,No,595609,93.06,671,112.66,ref,,108,18.13,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Chronic pulmonary disease,Yes,44414,6.94,87,195.88,1.74 (1.39-2.18),<.0001,13,29.27,1.61 (0.91-2.87),0.1028
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Coagulopathy,No,616593,96.34,715,115.96,ref,,112,18.16,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Coagulopathy,Yes,23430,3.66,43,183.53,1.58 (1.16-2.16),0.0034,9,38.41,2.12 (1.07-4.17),0.0303
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Deficiency anaemia,No,590839,92.32,674,114.08,ref,,107,18.11,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Deficiency anaemia,Yes,49184,7.68,84,170.79,1.50 (1.19-1.88),0.0005,14,28.46,1.57 (0.90-2.74),0.1115
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Depression,No,617932,96.55,721,116.68,ref,,113,18.29,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Depression,Yes,22091,3.45,37,167.49,1.44 (1.03-2.00),0.0319,8,36.21,1.98 (0.97-4.06),0.0615
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Fluid and electrolyte disorders,No,628753,98.24,731,116.26,ref,,115,18.29,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Fluid and electrolyte disorders,Yes,11270,1.76,27,239.57,2.07 (1.41-3.03),0.0002,6,53.24,2.91 (1.28-6.62),0.0107
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Hypothyroidism,No,608261,95.04,714,117.38,ref,,118,19.4,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Hypothyroidism,Yes,31762,4.96,44,138.53,1.18 (0.87-1.60),0.2857,3,9.45,0.49 (0.15-1.53),0.2183
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Liver disease,No,635507,99.29,748,117.7,ref,,120,18.88,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Liver disease,Yes,4516,0.71,10,221.43,1.88 (1.01-3.52),0.0468,1,22.14,1.17 (0.16-8.40),0.8739
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Lymphoma,No,639845,99.97,758,118.47,ref,,121,18.91,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Lymphoma,Yes,178,0.03,0,0,<0.001 (<0.001->999.99),0.9634,0,0,<0.001 (<0.001->999.99),0.9786
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Metastatic cancer,No,639946,99.99,757,118.29,ref,,120,18.75,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Metastatic cancer,Yes,77,0.01,1,1298.7,11.15 (1.55-80.01),0.0165,1,1298.7,70.31 (9.72-508.6),<.0001
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Other neurological disorders,No,626275,97.85,734,117.2,ref,,118,18.84,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Other neurological disorders,Yes,13748,2.15,24,174.57,1.49 (0.99-2.24),0.0546,3,21.82,1.16 (0.37-3.64),0.8016
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Paralysis,No,639682,99.95,757,118.34,ref,,121,18.92,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Paralysis,Yes,341,0.05,1,293.26,2.48 (0.35-17.70),0.3642,0,0,<0.001 (<0.001->999.99),0.9797
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,"Peptic ulcer disease, excluding bleeding",No,639782,99.96,758,118.48,ref,,121,18.91,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,"Peptic ulcer disease, excluding bleeding",Yes,241,0.04,0,0,<0.001 (<0.001->999.99),0.9574,0,0,<0.001 (<0.001->999.99),0.9830
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Peripheral vascular disorders,No,639750,99.96,758,118.48,ref,,121,18.91,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Peripheral vascular disorders,Yes,273,0.04,0,0,<0.001 (<0.001->999.99),0.9547,0,0,<0.001 (<0.001->999.99),0.9819
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Psychoses,No,632618,98.84,743,117.45,ref,,119,18.81,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Psychoses,Yes,7405,1.16,15,202.57,1.73 (1.03-2.88),0.0365,2,27.01,1.44 (0.35-5.81),0.6119
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Pulmonary circulation disorders,No,639721,99.95,756,118.18,ref,,121,18.91,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Pulmonary circulation disorders,Yes,302,0.05,2,662.25,5.64 (1.40-22.68),0.0149,0,0,<0.001 (<0.001->999.99),0.9809
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Renal failure,No,639490,99.92,753,117.75,ref,,120,18.76,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Renal failure,Yes,533,0.08,5,938.09,8.03 (3.32-19.44),<.0001,1,187.62,10.04 (1.40-71.82),0.0215
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Rheumatoid arthritis/collagen vascular diseases,No,636997,99.53,747,117.27,ref,,117,18.37,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Rheumatoid arthritis/collagen vascular diseases,Yes,3026,0.47,11,363.52,3.11 (1.71-5.64),0.0002,4,132.19,7.21 (2.66-19.54),0.0001
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Solid tumour without metastasis,No,639335,99.89,756,118.25,ref,,120,18.77,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Solid tumour without metastasis,Yes,688,0.11,2,290.7,2.46 (0.61-9.88),0.2037,1,145.35,7.75 (1.08-55.57),0.0415
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Valvular disease,No,637661,99.63,748,117.3,ref,,119,18.66,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Valvular disease,Yes,2362,0.37,10,423.37,3.62 (1.94-6.77),<.0001,2,84.67,4.55 (1.12-18.38),0.0336
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Weight loss,No,639184,99.87,758,118.59,ref,,121,18.93,ref,
2016-2018,Postpartum,SPARCS,Elixhauser Comorbidities,Weight loss,Yes,839,0.13,0,0,<0.001 (<0.001->999.99),0.9465,0,0,<0.001 (<0.001->999.99),0.9786
2016-2018,Postpartum,Birth certificate,Other Comorbidities,Alcohol Use,No,612201,98.88,752,122.84,ref,,120,19.6,ref,
2016-2018,Postpartum,Birth certificate,Other Comorbidities,Alcohol Use,Yes,5455,0.88,5,91.66,0.75 (0.31-1.80),0.5138,1,18.33,0.94 (0.13-6.69),0.9468
2016-2018,Postpartum,Birth certificate,Other Comorbidities,Alcohol Use,Unknown,1486,0.24,0,0,<0.001 (<0.001->999.99),0.9517,0,0,<0.001 (<0.001->999.99),0.9807
2016-2018,Postpartum,SPARCS,Other Comorbidities,Group B Strep Carrier,No,512247,80.04,615,120.06,ref,,97,18.94,ref,
2016-2018,Postpartum,SPARCS,Other Comorbidities,Group B Strep Carrier,Yes,127776,19.96,143,111.91,0.93 (0.78-1.12),0.4490,24,18.78,0.99 (0.63-1.55),0.9716
2016-2018,Postpartum,SPARCS,Other Comorbidities,History of Sepsis (w/in 1yr prior to start of pregnancy),No,639436,99.91,756,118.23,ref,,120,18.77,ref,
2016-2018,Postpartum,SPARCS,Other Comorbidities,History of Sepsis (w/in 1yr prior to start of pregnancy),Yes,587,0.09,2,340.72,2.89 (0.72-11.60),0.1346,1,170.36,9.10 (1.27-65.18),0.0280
2016-2018,Postpartum,Birth certificate,Other Comorbidities,Illegal Drug Use,No,603418,97.46,720,119.32,ref,,113,18.73,ref,
2016-2018,Postpartum,Birth certificate,Other Comorbidities,Illegal Drug Use,Yes,14992,2.42,35,233.46,1.96 (1.40-2.75),0.0001,8,53.36,2.85 (1.39-5.84),0.0042
2016-2018,Postpartum,Birth certificate,Other Comorbidities,Illegal Drug Use,Unknown,732,0.12,2,273.22,2.30 (0.57-9.21),0.2393,0,0,<0.001 (<0.001->999.99),0.9798
2016-2018,Postpartum,SPARCS,Other Comorbidities,Organ Transplant,No,639858,99.97,756,118.15,ref,,120,18.75,ref,
2016-2018,Postpartum,SPARCS,Other Comorbidities,Organ Transplant,Yes,165,0.03,2,1212.12,10.41 (2.58-41.95),0.0010,1,606.06,32.51 (4.52-234.1),0.0005
2016-2018,Postpartum,SPARCS,Other Comorbidities,Other Immunosupression,No,639334,99.89,756,118.25,ref,,121,18.93,ref,
2016-2018,Postpartum,SPARCS,Other Comorbidities,Other Immunosupression,Yes,689,0.11,2,290.28,2.46 (0.61-9.87),0.2044,0,0,<0.001 (<0.001->999.99),0.9806
2016-2018,Postpartum,Birth certificate,Other Comorbidities,Tobacco Use,No,576262,93.07,686,119.04,ref,,109,18.92,ref,
2016-2018,Postpartum,Birth certificate,Other Comorbidities,Tobacco Use,Yes,42128,6.8,70,166.16,1.40 (1.09-1.79),0.0078,12,28.48,1.51 (0.83-2.73),0.1782
2016-2018,Postpartum,Birth certificate,Other Comorbidities,Tobacco Use,Unknown,752,0.12,1,132.98,1.12 (0.16-7.95),0.9119,0,0,<0.001 (<0.001->999.99),0.9795
2016-2018,Postpartum,SPARCS,Demographics,Age Group,<20,35999,5.62,64,177.78,1.58 (1.22-2.05),0.0005,14,38.89,2.34 (1.33-4.13),0.0032
2016-2018,Postpartum,SPARCS,Demographics,Age Group,20-35,488179,76.28,548,112.25,ref,,81,16.59,ref,
2016-2018,Postpartum,SPARCS,Demographics,Age Group,>35,115845,18.1,146,126.03,1.12 (0.94-1.35),0.2136,26,22.44,1.35 (0.87-2.10),0.1802
2016-2018,Postpartum,Birth certificate,Demographics,Education,Less than high school,93199,14.56,145,155.58,1.78 (1.44-2.20),<.0001,24,25.75,1.88 (1.10-3.18),0.0199
2016-2018,Postpartum,Birth certificate,Demographics,Education,High school graduate or GED,141421,22.1,213,150.61,1.72 (1.42-2.09),<.0001,30,21.21,1.54 (0.94-2.54),0.0871
2016-2018,Postpartum,Birth certificate,Demographics,Education,Some College,99452,15.54,130,130.72,1.49 (1.20-1.86),0.0004,22,22.12,1.61 (0.94-2.77),0.0852
2016-2018,Postpartum,Birth certificate,Demographics,Education,AA Degree,49715,7.77,62,124.71,1.43 (1.07-1.89),0.0147,12,24.14,1.76 (0.91-3.41),0.0957
2016-2018,Postpartum,Birth certificate,Demographics,Education,BA degree or higher,233015,36.41,204,87.55,ref,,32,13.73,ref,
2016-2018,Postpartum,Birth certificate,Demographics,Education,Unknown,2340,0.37,3,128.21,1.46 (0.47-4.58),0.5117,1,42.74,3.12 (0.43-22.79),0.2620
2016-2018,Postpartum,SPARCS & Birth certificate,Demographics,Race/Ethnicity,"White, Non-Hispanic",312583,48.84,284,90.86,ref,,34,10.88,ref,
2016-2018,Postpartum,SPARCS & Birth certificate,Demographics,Race/Ethnicity,"Black, Non-Hispanic",96078,15.01,124,129.06,1.42 (1.15-1.76),0.0011,20,20.82,1.91 (1.10-3.33),0.0213
2016-2018,Postpartum,SPARCS & Birth certificate,Demographics,Race/Ethnicity,Hispanic,142099,22.2,237,166.79,1.84 (1.55-2.18),<.0001,43,30.26,2.78 (1.77-4.36),<.0001
